intersection,lon,lat
MACE AVENUE and WHITEPLAINS ROAD,-73.867423,40.863212
MATTHEWS AVENUE and VANNEST AVENUE,-73.861185,40.844681
SACKET AVENUE and YATES AVENUE,-73.847208,40.846488
ADRIAN AVENUE and WEST 225 STREET,-73.912786,40.875634
ADRIAN AVENUE and WEST 228 STREET,-73.909984,40.877828
BROADWAY and WEST 228 STREET,-73.908378,40.875683
FORT CHARLES PLACE and JACOBUS PLACE,-73.911455,40.875674
FORT CHARLES PLACE and MARBLE HILL AVENUE,-73.909447,40.876271
FT CHARLES PLACE and MARBLE HILL AVENUE,-73.909447,40.876271
JACOBUS PLACE and VAN CORLEAR PLACE,-73.911455,40.875674
JACOBUS PLACE and VANCORLEAR PLACE,-73.911455,40.875674
JACOBUS PLACE and WEST 225 STREET,-73.912266,40.875043
KINGSBRIDGE TERRACE and WEST 230 STREET,-73.902151,40.875584
MAJOR DEEGAN EXPRESSWAY and VANCORTLANDT PARK SOUTH,-73.896614,40.885954
MARBLE HILL AVENUE and WEST 225 STREET,-73.911088,40.874661
MARBLE HILL AVENUE and WEST 227 STREET,-73.909472,40.876548
MARBLE HILL AVENUE and WEST 228 STREET,-73.909045,40.87722
SPENCER AVENUE and WEST 263 STREET,-73.898104,40.911791
TERRACE VIEW AVENUE and TEUNISSEN PLACE,-73.912716,40.876685
TERRACE VIEW AVENUE and WEST 225 STREET,-73.912786,40.875634
VAN CORLEAR PLACE and WEST 227 STREET,-73.910058,40.876955
WEBB AVENUE and WEST 188 STREET,-73.907538,40.863559
BAY 50 STREET and SHORE PARKWAY,-73.988259,40.58503
BRIGHTON 7 STREET and BRIGHTON 7 WALK,-73.961634,40.58066
HIGHLAND AVENUE and MAPLE AVENUE,-74.00838,40.579104
RIEGELMANN BOARDWALK and WEST 21 STREET,-73.987243,40.572497
ANGELA DRIVE and OCEAN PARKWAY,-73.964955,40.591863
AVENUE W and EAST 15 STREET,-73.955584,40.594481
DEVON AVENUE and JOVAL COURT,-73.930288,40.591638
EATON COURT and LOIS AVENUE,-73.921336,40.586933
FLORENCE AVENUE and JOVAL COURT,-73.928202,40.589729
GRAVESEND NECK ROAD and HOMECREST AVENUE,-73.958368,40.594226
MADOC AVENUE and NOVA COURT,-73.92517,40.586812
STRYKER COURT and STRYKER STREET,-73.972779,40.591694
17 AVENUE and 75 STREET,-73.998372,40.614831
O AVENUE and WEST 6 STREET,-73.98018,40.610632
P AVENUE and WEST 6 STREET,-73.979698,40.608077
L AVENUE and UTICA AVENUE,-73.92737,40.623561
ALBERMARLE ROAD and MCDONALD AVENUE,-73.979881,40.64511
ELMWOOD AVENUE and MCDONALD AVENUE,-73.97645,40.627007
B AVENUE and RALPH AVENUE,-73.920184,40.64703
BEVERLEY ROAD and EAST 34 STREET,-73.9451,40.645373
12 AVENUE and 69 STREET,-74.006095,40.625033
12 AVENUE and TABOR COURT,-74.002226,40.62875
13 AVENUE and 75 STREET,-74.007427,40.620304
14 AVENUE and POLY PLACE,-74.01702,40.607655
78 STREET and FORT HAMILTON PARKWAY,-74.01875,40.624318
ALBERMARLE ROAD and EAST 18 STREET,-73.962612,40.647007
EAST 15 STREET and FOSTER AVENUE,-73.963102,40.634047
SAINT PAUL PLACE and WOODRUFF AVENUE,-73.963813,40.653263
BROOKLYN AVENUE and WINTHROP AVENUE,-73.945094,40.657431
MCKEEVER PLACE and SULLIVAN PLACE,-73.959344,40.664175
BERGAN STREET and BOYLAND STREET,-73.913918,40.67413
BOYLAND STREET and MCDOUGAL STREET,-73.913882,40.679935
CHRISTOPHER AVENUE and EAST NY AVENUE,-73.906957,40.673984
LOTT AVENUE and THOMAS BOYLAND STREET,-73.910548,40.657524
MACDOUGAL STREET and THOMAS BOYLAND STREET,-73.913882,40.679935
SARATOGA AVENUE and ST JOHNS PLACE,-73.91711,40.66982
ATLANTIC AVENUE and ELDERTS LANE,-73.866302,40.683186
AUTUMN AVENUE and CONDUIT BOULEVARD,-73.868381,40.67653
